Pos.,Club,Seasons,Pld,W,D,L,GF,GA,GD,Pts,PPG,1st,2nd,3rd,4th,5th,6th,7th,T4,T7,Debut,Since/Last App.,Relegated,BestPos.
25,Sheffield Wednesday,8,316,101,89,126,409,453,−44,392,1.241,,,,,,,3,,3,1992–93,1999–2000,1,7
26,Wimbledon[i],8,316,99,94,123,384,472,−88,391,1.237,,,,,,1,,,1,1992–93,1999–2000,1,6
27,Charlton Athletic,8,304,93,82,129,342,442,−100,361,1.188,,,,,,,1,,1,1998–99,2006–07,2,7
28,Burnley,9,342,88,85,169,341,533,−192,349,1.020,,,,,,,1,,1,2009–10,2023–24,4,7
29,Wigan Athletic,8,304,85,76,143,316,482,−166,331,1.089,,,,,,,,,,2005–06,2012–13,1,10
30,Brighton & Hove Albion,7,266,78,85,103,317,373,−56,319,1.199,,,,,,1,,,1,2017–18,2017–18,,6
31,Swansea City,7,266,82,66,118,306,383,−77,312,1.173,,,,,,,,,,2011–12,2017–18,1,8
32,Nottingham Forest,7,274,78,79,117,316,422,−106,309[j],1.128,,,1,,,,,1,1,1992–93,2022–23,3,3
33,Queens Park Rangers,7,278,81,65,132,339,431,−92,308,1.108,,,,,1,,,,1,1992–93,2014–15,3,5
34,Birmingham City,7,266,73,82,111,273,360,−87,301,1.132,,,,,,,,,,2002–03,2010–11,3,9
35,Bournemouth,7,266,80,58,128,332,468,−136,298,1.120,,,,,,,,,,2015–16,2022–23,1,9
36,Portsmouth,7,266,79,65,122,292,380,−88,293[k],1.102,,,,,,,,,,2003–04,2009–10,1,8
37,Watford,8,304,73,66,165,310,518,−208,285,0.938,,,,,,,,,,1999–2000,2021–22,4,11
38,Derby County,7,266,68,70,128,271,420,−149,274,1.030,,,,,,,,,,1996–97,2007–08,2,8
39,Sheffield United,6,236,56,57,123,222,374,−152,225,0.953,,,,,,,,,,1992–93,2023–24,4,9
40,Ipswich Town,5,202,57,53,92,219,312,−93,224,1.109,,,,,1,,,,1,1992–93,2024–25,2,5
41,Hull City,5,190,41,48,101,181,323,−142,171,0.900,,,,,,,,,,2008–09,2016–17,3,16
42,Brentford,3,114,38,30,46,162,167,−5,144,1.263,,,,,,,,,,2021–22,2021–22,,9
43,Reading,3,114,32,23,59,136,186,−50,119,1.044,,,,,,,,,,2006–07,2012–13,2,8
44,Oldham Athletic,2,84,22,23,39,105,142,−37,89,1.060,,,,,,,,,,1992–93,1993–94,1,19
45,Cardiff City,2,76,17,13,46,66,143,−77,64,0.842,,,,,,,,,,2013–14,2018–19,2,18
46,Bradford City,2,76,14,20,42,68,138,−70,62,0.816,,,,,,,,,,1999–2000,2000–01,1,17
47,Huddersfield Town,2,76,12,17,47,50,134,−84,53,0.697,,,,,,,,,,2017–18,2018–19,1,16
48,Blackpool,1,38,10,9,19,55,78,−23,39,1.026,,,,,,,,,,2010–11,2010–11,1,19
49,Barnsley,1,38,10,5,23,37,82,−45,35,0.921,,,,,,,,,,1997–98,1997–98,1,19
50,Swindon Town,1,42,5,15,22,47,100,−53,30,0.714,,,,,,,,,,1993–94,1993–94,1,22
51,Luton Town,1,38,6,8,24,52,85,–33,26,0.684,,,,,,,,,,2023–24,2023–24,1,18
